source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
684899983513990784,134.00853544296794,20.524734612429395,1.4489622552000632,2.227886161320342,1.3349184851515565,20.146606,1.4078159
684904935612187520,133.82970701628182,20.60177364735819,1.0852905692885089,-7.072963766265708,-1.417328394115263,16.790709,1.3033943
684928536456355840,134.07434356924588,20.91356916291365,1.350523787746783,-13.782882854218993,-11.915914470289561,19.327366,2.6929607
684903316409078912,134.02229060703058,20.644894678119243,0.5947585646544893,4.910122167642289,-4.410242603460674,19.25106,
684917957953033600,133.70242801675516,20.651680415578078,3.6177334628933817,-22.851337160874763,5.914487939340939,13.751003,1.5030775
684903973539512448,133.9128340741441,20.558777611752447,3.3568959798355187,-39.10824702149361,-10.55357802322479,17.316162,2.4430847
684860538534359296,134.1682091613171,20.560309748583695,0.5316731477316129,1.600303095097195,-13.979721235492129,15.8050165,0.79577446
684854834817787520,134.10263662155515,20.552402753406877,0.9948611827079881,-10.255347136975955,2.0606205073871178,19.168177,1.7273197
684899678572216576,134.00266982854228,20.494914889052044,1.0867571192159695,-7.827655802275317,8.233746317126151,16.37511,1.3915558
684903904820036864,133.85710888084967,20.57896566661792,0.7515449438318224,1.887361543800547,-13.18096872465673,16.870888,1.2994747
684899678572216704,134.003741563565,20.491565560462973,2.385395184210931,-5.574506156132068,-1.1074356213059078,19.514334,2.2486458
684904282777158656,133.86756543612813,20.57481549022458,1.2751886325331756,4.783517199789585,5.288824567577115,15.0558605,0.94206333
684916957227017216,133.75005274844298,20.63954577089332,2.7590112250263203,-12.43088832497138,-12.742162514030602,20.428825,2.1000824
684930838558828672,133.89696229118243,20.92689112770125,1.6210755851825618,0.8391235233083536,5.489307456553714,19.048807,2.1054325
684932247308103040,133.91671385440142,20.934514525994192,1.8728614295073587,-6.974445127239827,-8.688202105892048,16.840635,2.0057545
684931594473074176,133.89214694313605,20.934288364423654,0.9866258866788384,-3.181649732628432,4.4671036668900115,16.664816,1.2480135
684932109869149312,133.96978145148157,20.933793248126594,1.876220798280508,-7.736318836602196,-21.951740174105655,19.198948,2.5005875
