source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_variable_flag,teff_val,a_g_val
604697280352300416,133.1112658371461,11.374981681122165,1.3179744474743504,0.035370272802910004,14.297303,0.89778614,NOT_AVAILABLE,5480.5,
604698001906811136,133.0869260351647,11.363147357067138,0.7198978165416832,0.04268029085242697,11.051304,1.1671581,NOT_AVAILABLE,4927.1304,0.225
604699513735294464,133.10655427163337,11.382311966952482,1.7352062942581066,0.04073488010351718,14.712963,1.0851583,NOT_AVAILABLE,5050.243,0.091
604739504175239040,133.38136395242842,11.806127992862542,0.7251092255935273,0.14647873545536658,17.962915,1.2350063,NOT_AVAILABLE,,
604683467737481088,133.16745665356513,11.23832936876683,1.2400878785535696,0.03705268408921146,14.763832,1.0370388,NOT_AVAILABLE,5092.0,0.3047
604692225175991680,133.3313531695417,11.39211287096864,2.2893929351957736,1.364591441465388,20.613499,1.5605259,NOT_AVAILABLE,,
604696936754916224,133.14075790276206,11.337610755908843,0.9995971826101305,0.3421628594199621,18.971516,1.0337601,NOT_AVAILABLE,,
604699616814508032,133.10592716325783,11.40538700284055,0.6136870605615472,0.05529881036741462,15.717116,0.9650526,NOT_AVAILABLE,5377.0,
604703293306514560,133.05646269584489,11.469317025405942,0.728227296145121,0.042766388333335674,15.023486,0.86891365,NOT_AVAILABLE,5727.0,0.391
604745963806100096,133.44067854571225,11.865889089641662,1.189397209059443,0.9205284570385318,20.651773,0.6871147,NOT_AVAILABLE,,
604697825813342464,133.01470654853318,11.368445675987408,1.340452034087374,1.1173896701528574,20.519169,1.3310318,NOT_AVAILABLE,,
604684391160232064,133.08298119725885,11.250215919569905,0.8859845537041598,0.9449145128161505,20.276783,1.4749126,NOT_AVAILABLE,,
604731914968516864,133.4231787404361,11.633618074455146,1.0498797949027865,1.2451224773838288,20.39203,2.3461266,NOT_AVAILABLE,,
604699822972938880,133.09948816079546,11.40765666040241,0.6416132839274379,0.05303888327111626,15.585432,0.8164587,NOT_AVAILABLE,5811.0,0.098
604685048285445248,133.12781946619137,11.306190864476259,1.1593293833638727,0.07566508319177233,16.531586,1.4148626,NOT_AVAILABLE,4425.703,0.227
604709306260679680,133.3486346338253,11.622654373631661,1.3251476871383683,0.03548505037810694,13.974795,0.9010868,NOT_AVAILABLE,5473.25,0.2823
604696936754914560,133.14903625567626,11.343309725189023,0.8276240187637067,0.5480919860635061,19.644804,1.7565689,NOT_AVAILABLE,,
604707897511407104,133.3871912477072,11.557148794752877,0.7401550380756186,0.17037433562544266,17.479906,1.5987854,NOT_AVAILABLE,,
604711264765695744,133.1671302464788,11.5994331703144,0.6123389200581043,0.31711223136927724,18.46789,1.6943436,NOT_AVAILABLE,,
604698482943141504,133.13555356750223,11.359145701751153,0.6191547105099922,0.5253789211171971,19.513388,1.0445728,NOT_AVAILABLE,,
604732224206160640,133.44768894484892,11.634091379976581,1.0022295933518406,0.3172978073579504,18.54545,2.3295937,NOT_AVAILABLE,,
604699548095029248,133.12465073165208,11.395876877151645,0.5249401057462002,0.5771977250930713,19.708452,2.008606,NOT_AVAILABLE,,
604684670328321664,133.15856274290624,11.267444251835732,0.94824861399582,0.5251163701610019,19.488342,2.0288239,NOT_AVAILABLE,,
604706690625732736,133.25168676658473,11.513454064162293,0.8503880864208501,0.8261467177478661,19.922253,1.8978271,NOT_AVAILABLE,,
604687139935319168,133.22571213917487,11.369280594497516,2.7544687674691386,1.2150894834997494,20.446774,2.2302265,NOT_AVAILABLE,,
604684567249174144,133.12090750520977,11.28746757993114,0.7053809379031136,0.03101178413975839,14.134031,1.0913477,NOT_AVAILABLE,4964.0996,
604732018047730048,133.454980554351,11.62659445951183,1.9099087697531978,0.7423596480841674,20.231785,1.8321648,NOT_AVAILABLE,,
604684429810162048,133.10012220430067,11.255762343383516,1.0902111893554247,0.3729358474793012,18.898012,1.9730415,NOT_AVAILABLE,,
604719712966184448,133.46329799659566,11.575019260682195,0.6615244224938981,0.8571402284836742,19.927816,0.8164253,NOT_AVAILABLE,,
604746273043747200,133.5209745107479,11.88989615841729,2.5909793789162263,0.6684384649152556,20.17618,2.2399101,NOT_AVAILABLE,,
604709065742513536,133.3422050228828,11.610765498299335,1.8733356332149087,0.5720681072885736,19.293573,2.4972992,NOT_AVAILABLE,,
604708889648607616,133.34023125514582,11.590962406827684,0.7708081692625444,0.8847996209895715,20.083769,1.8220158,NOT_AVAILABLE,,
604708271173317504,133.3681416425574,11.591379393142294,1.1154343812708662,0.7605580764925389,19.807838,2.210596,NOT_AVAILABLE,,
604707760072455808,133.37904300264063,11.540713668905104,1.1437284484963859,0.27180392298823075,18.132582,2.0185165,NOT_AVAILABLE,,
604703155867565312,133.03498869695957,11.452101658504876,2.1291847775607797,0.356592795974303,18.787924,2.411684,NOT_AVAILABLE,,
604697314712052736,133.01312219108382,11.310930008318783,2.0184991698720474,0.8928816677256779,20.247171,0.7591629,NOT_AVAILABLE,,
604698311144454144,133.0737228221362,11.40015268941661,1.440011045416008,0.5385479543760836,19.58058,1.8662434,NOT_AVAILABLE,,
604731777529567488,133.4005819976056,11.612404939641062,0.7119640281531449,0.051596106135883356,15.205918,0.8090725,NOT_AVAILABLE,5818.0,0.09
604701128643010816,132.98140924126727,11.402848931421694,1.137960355959615,0.024563253448716092,13.152819,0.74048233,NOT_AVAILABLE,6304.0,
604684704688057344,133.17439993571736,11.282596080790848,1.2153550760503153,0.3397962419971799,18.873055,1.8026829,NOT_AVAILABLE,,
604703087148089088,133.04373630252672,11.436713001146133,0.7737123093991382,0.31181438268544226,18.846638,1.6965961,NOT_AVAILABLE,,
604731433932183552,133.42278140468122,11.584530605894171,1.168196302133159,0.45120354512570615,18.55656,2.564766,NOT_AVAILABLE,,
604695768523761664,133.41880030909647,11.528435454238625,2.4735092707352972,0.08374545600066098,16.224909,1.8357267,NOT_AVAILABLE,3917.3901,0.177
604696868035442432,133.11911992139258,11.330342382484027,1.34070157584648,0.1583465043745298,17.51609,1.7888432,NOT_AVAILABLE,,
604732808321147392,133.36082157538877,11.647120607985643,0.8448126398905599,0.9682839891184526,20.199224,2.235342,NOT_AVAILABLE,,
604703121507823616,133.05956453610023,11.451187450607996,2.0403150800215455,0.4187744601739045,18.9213,1.8771782,NOT_AVAILABLE,,
