source_id,ra,dec,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_flux_over_error,phot_g_mean_mag,bp_rp
249164148203137920,52.28461122135525,48.180671260869076,5.790172500124089,139.50977,23.65395502713511,-26.851990138228306,3789.1204,9.912576,0.6932297
249161227624791168,52.54644579373153,48.136809345058225,5.887684713949996,82.22129,22.908505505636214,-27.69359423094973,797.3305,15.328842999999999,2.8662539000000002
249161571222190720,52.496921140001405,48.130921930292885,5.577887755174175,22.303667,23.288395403392066,-30.438455171674843,452.72794000000005,18.63306,2.491459
249172562040165248,52.529736367320076,48.323747386166275,5.515198037718315,20.869942,21.781251204140002,-25.647292340067164,425.8569,18.664875,3.1146182999999996
249167000060800384,52.63239868776454,48.16335190532074,5.603473861177911,23.137705,22.65582085358123,-26.152867368526593,529.27496,18.24466,2.911522
249168580608693632,52.652240751818994,48.257989559527815,5.757198152661703,81.034706,22.57314367775298,-26.564410288271898,1774.4192,15.936677,2.8622026000000003
249164423080454912,52.35948624297015,48.20313610525347,5.8472073016569475,137.78049,22.83500256226811,-25.971857362754346,2423.9229,9.842731,0.80470467
249220601252500864,52.49132145888814,48.437157008622144,5.906155709156975,54.28674,22.87112001455521,-26.91801998630732,691.8099,17.125095,3.1666203
249188367519516800,52.12487609221247,48.151660932391536,5.849663498297686,34.962821999999996,23.37313181988653,-26.256355988938303,489.1301,17.86596,3.4484120000000003
249203180864918656,51.90677210591094,48.2728421973646,5.775277044965159,118.51506,22.55892953332409,-25.930544278592,2995.4336,7.930745599999999,0.15797567
249216168846376448,52.20326359521373,48.34011589948121,5.717598213163518,75.33908000000001,23.41161836571009,-25.86569376544424,907.30884,15.670504000000001,2.6493025
249191361115395584,52.064644204484274,48.19493895855784,5.6049287246451795,51.10199,22.54687451317641,-25.23574267950353,1133.4497,16.883875,3.0103245
249187409745500800,52.20888109426821,48.126939280811385,5.520487136674037,57.93603,22.71163202955553,-25.60521429229877,1048.3585,16.6207,2.9808512
249298460420296448,53.85306437537253,49.05984064344925,5.5504729435784315,196.91631999999998,21.25219342505445,-25.235250588245396,867.3366,14.235966000000001,1.9457254000000002
249198645379514880,51.552850959592035,48.15234643569852,5.5493324407010425,156.18081999999998,22.981559768365212,-24.95718321389725,1641.9832,12.569267,1.274044
249236647249997696,52.07799816050952,48.66327520982392,5.739072320659509,163.01234,23.566427058901386,-25.927163296396714,1012.32935,12.558571,1.2584906
249266677662158592,53.076258506474616,48.546654268231535,5.517999799996296,50.920033000000004,22.171422727965044,-26.03349489666705,757.81757,16.987572,3.0218409999999998
249218191771215104,52.34930193361418,48.417718659691104,5.858228828494906,28.905489000000003,23.176048475581727,-25.21063414712405,668.0649400000001,18.248442,3.42021
249199882330077312,51.54436949046063,48.221636993464486,5.739700627448438,130.94885,23.56776067557877,-25.75750914552668,3521.2178,8.47145,0.2650547
249277810217226752,53.07323277489626,48.74858572922182,5.625569862439556,98.76826,22.55615672612989,-26.23709101706645,1050.9231,15.321727,2.5381289000000002
249197408428902144,51.77168553713114,48.20539949321511,5.7345433796148075,97.296074,23.56473179410777,-25.191375195881392,2991.1655,6.814467999999999,0.016352653999999998
249208987660681216,51.84731698793676,48.37339111999034,5.567988251549134,149.33717,23.340857146529984,-22.957044048488584,231.8972,12.804164,1.3662691
249241663772002048,52.43759668597534,48.815603834388504,5.522497832266666,28.688864000000002,23.12657625663757,-24.33685823402124,488.4392,18.268263,3.5035629999999998
249212801592026240,52.28199938235962,48.3027901656396,5.678597331676484,105.82918500000001,22.96080979719913,-25.56819984637401,3291.7375,7.349289999999999,0.028480052999999998
249205036290763136,52.05386825790166,48.332458503973825,5.950261580460318,81.402626,22.743666179946622,-26.311939970673393,914.03296,15.849431,2.7724132999999997
249209331258050816,51.91102725399306,48.41632095079074,5.7498004929734865,95.46141999999999,22.515271698606032,-26.501038585482217,1544.4216,14.547262,2.5095243
249222387958844288,52.58069880087528,48.49920382131908,5.765798607565876,123.86291999999999,27.348278857679578,-30.674036448638926,3558.0088,8.760247999999999,0.3641672
249189226510517120,51.90901116787778,48.090262812792794,5.788420661101163,24.849125,23.14074014713552,-25.353184851231862,518.66095,18.40401,3.5130692000000003
249267124338789248,52.97604246928119,48.527226125234186,5.850260841428497,146.73301999999998,22.85123498669961,-26.267093238277866,1260.657,10.325752,0.7790766
249202012633822464,51.66725770270778,48.31931579159779,5.8289538788051,55.57198,22.590475476428583,-25.621049165950247,950.2101,16.642208,3.3183556000000003
249186099774312320,51.95804096366784,48.079103858596795,5.675780178903103,57.46835,23.328290822293987,-26.28836245313698,945.0811,16.899403,3.1054401
249211633360951296,52.34274449337384,48.23723751959346,5.807893802718112,52.207367,23.024928867522373,-26.03105420115166,549.24023,16.827303,3.0590724999999996
249299143316055680,53.33643132865665,48.76345239311286,5.88805466761076,17.094107,22.176847900208834,-26.999558128200405,343.49377000000004,19.08969,3.5185565999999997
249376663184042880,53.09054339181543,49.406077711257154,5.464591340924711,47.985603000000005,21.968988926239614,-26.60424550564222,712.5956,17.397245,3.1245365
249377350378812672,53.02887277304307,49.422797630740995,5.648415023696759,32.965385,22.635139520134874,-25.400059541923085,433.67084000000006,18.16287,3.453701
249344399390028544,52.763215761412965,49.048716220440085,5.869681194458377,24.532299,23.029574553821856,-26.067726515216012,473.22668,18.372204,3.4229068999999996
249323435649810944,52.73013033112737,48.79442550812754,5.924484010590758,40.94638,24.524853949026266,-26.892397307496985,614.3195,17.623962,3.1300774
