logAge   ,Mass,Gmag,BPmag,RPmag,bp_rp
7.5,4.954,-0.818,-0.942,-0.654,-0.2879999999999999
7.5,5.088,-0.901,-1.028,-0.733,-0.29500000000000004
7.5,5.188,-0.962,-1.091,-0.792,-0.29899999999999993
7.5,5.271,-1.013,-1.144,-0.84,-0.30399999999999994
7.5,5.419,-1.102,-1.236,-0.926,-0.30999999999999994
7.5,5.453,-1.123,-1.258,-0.946,-0.31200000000000006
7.5,5.568,-1.191,-1.328,-1.012,-0.31600000000000006
7.5,5.636,-1.233,-1.37,-1.052,-0.31800000000000006
7.5,5.818,-1.342,-1.482,-1.157,-0.32499999999999996
7.5,5.926,-1.406,-1.548,-1.219,-0.32899999999999996
7.5,6.0,-1.451,-1.594,-1.262,-0.3320000000000001
7.5,6.106,-1.515,-1.66,-1.324,-0.33599999999999985
7.5,6.2,-1.573,-1.72,-1.381,-0.33899999999999997
7.5,6.308,-1.64,-1.788,-1.446,-0.3420000000000001
7.5,6.399,-1.697,-1.846,-1.501,-0.3450000000000002
7.5,6.473,-1.743,-1.893,-1.546,-0.347
7.5,6.648,-1.853,-2.005,-1.654,-0.351
7.5,6.81,-1.957,-2.11,-1.756,-0.35399999999999987
7.5,6.959,-2.057,-2.212,-1.855,-0.3570000000000002
7.5,6.996,-2.083,-2.238,-1.881,-0.357
7.5,7.158,-2.195,-2.351,-1.992,-0.359
7.5,7.355,-2.338,-2.494,-2.134,-0.3600000000000003
7.5,7.519,-2.462,-2.619,-2.258,-0.3610000000000002
7.5,7.668,-2.586,-2.743,-2.383,-0.3599999999999999
7.5,7.802,-2.707,-2.862,-2.504,-0.3580000000000001
7.5,7.93,-2.828,-2.983,-2.628,-0.355
7.5,8.001,-2.902,-3.055,-2.702,-0.3530000000000002
7.5,8.06,-2.962,-3.114,-2.764,-0.3500000000000001
7.5,8.19,-3.109,-3.259,-2.914,-0.34499999999999975
7.5,8.312,-3.258,-3.405,-3.068,-0.33699999999999974
7.5,8.406,-3.385,-3.529,-3.2,-0.32899999999999974
7.5,8.506,-3.522,-3.663,-3.34,-0.32299999999999995
7.5,8.531,-3.553,-3.694,-3.373,-0.32099999999999973
7.5,8.578,-3.546,-3.693,-3.357,-0.33599999999999985
7.5,8.589,-3.518,-3.67,-3.323,-0.347
7.5,8.592,-3.491,-3.647,-3.29,-0.35699999999999976
7.5,8.594,-3.474,-3.634,-3.268,-0.3660000000000001
7.5,8.595,-3.465,-3.629,-3.255,-0.3740000000000001
7.5,8.596,-3.463,-3.627,-3.251,-0.3759999999999999
7.5,8.596,-3.446,-3.607,-3.237,-0.3700000000000001
7.5,8.597,-3.451,-3.609,-3.248,-0.36099999999999977
7.5,8.597,-3.481,-3.635,-3.284,-0.351
7.5,8.597,-3.544,-3.693,-3.353,-0.33999999999999986
7.5,8.598,-3.62,-3.764,-3.436,-0.32799999999999985
7.5,8.598,-3.705,-3.843,-3.528,-0.31499999999999995
7.5,8.598,-3.791,-3.924,-3.621,-0.30299999999999994
7.5,8.598,-3.876,-4.004,-3.712,-0.29199999999999937
7.5,8.599,-3.977,-4.099,-3.822,-0.27700000000000014
7.5,8.599,-4.054,-4.171,-3.906,-0.2650000000000001
7.5,8.599,-4.129,-4.241,-3.988,-0.25299999999999967
7.5,8.599,-4.201,-4.307,-4.066,-0.24100000000000055
7.5,8.6,-4.27,-4.371,-4.143,-0.22800000000000065
7.5,8.6,-4.337,-4.433,-4.218,-0.21499999999999986
7.5,8.6,-4.402,-4.492,-4.29,-0.20199999999999996
7.5,8.6,-4.465,-4.549,-4.361,-0.1880000000000006
7.5,8.6,-4.527,-4.605,-4.43,-0.1750000000000007
7.5,8.601,-4.586,-4.658,-4.496,-0.16199999999999992
7.5,8.601,-4.644,-4.71,-4.562,-0.1479999999999997
7.5,8.601,-4.7,-4.76,-4.625,-0.1349999999999998
7.5,8.601,-4.753,-4.807,-4.686,-0.12100000000000044
7.5,8.601,-4.805,-4.853,-4.745,-0.10799999999999965
7.5,8.601,-4.854,-4.895,-4.801,-0.09399999999999942
7.5,8.602,-4.9,-4.935,-4.856,-0.07899999999999974
7.5,8.602,-4.945,-4.973,-4.909,-0.06400000000000006
7.5,8.602,-4.988,-5.01,-4.96,-0.04999999999999982
7.5,8.602,-5.03,-5.044,-5.01,-0.03399999999999981
7.5,8.602,-5.069,-5.077,-5.058,-0.019000000000000128
7.5,8.602,-5.115,-5.114,-5.116,0.0019999999999997797
7.5,8.602,-5.149,-5.14,-5.16,0.020000000000000462
7.5,8.602,-5.18,-5.163,-5.202,0.0389999999999997
7.5,8.603,-5.205,-5.18,-5.242,0.06200000000000028
7.5,8.603,-5.223,-5.187,-5.279,0.09199999999999964
7.5,8.603,-5.236,-5.187,-5.313,0.12599999999999945
7.5,8.603,-5.242,-5.179,-5.345,0.16599999999999948
7.5,8.603,-5.242,-5.164,-5.373,0.20900000000000052
7.5,8.603,-5.238,-5.142,-5.399,0.2569999999999997
7.5,8.603,-5.23,-5.114,-5.424,0.3100000000000005
7.5,8.603,-5.217,-5.079,-5.448,0.36900000000000066
7.5,8.603,-5.203,-5.042,-5.469,0.4270000000000005
7.5,8.603,-5.185,-5.0,-5.487,0.4870000000000001
7.5,8.603,-5.166,-4.955,-5.504,0.5489999999999995
7.5,8.603,-5.143,-4.904,-5.517,0.6130000000000004
7.5,8.603,-5.117,-4.849,-5.529,0.6799999999999997
7.5,8.604,-5.089,-4.788,-5.539,0.7509999999999994
7.5,8.604,-5.057,-4.723,-5.543,0.8200000000000003
7.5,8.604,-5.022,-4.655,-5.54,0.8849999999999998
7.5,8.604,-4.971,-4.563,-5.528,0.9649999999999999
7.5,8.604,-4.925,-4.486,-5.511,1.0250000000000004
7.5,8.604,-4.875,-4.406,-5.488,1.0820000000000007
7.5,8.604,-4.82,-4.32,-5.458,1.138
7.5,8.604,-4.76,-4.23,-5.422,1.1919999999999993
7.5,8.604,-4.695,-4.14,-5.376,1.2360000000000007
7.5,8.604,-4.616,-4.038,-5.316,1.2779999999999996
7.5,8.604,-4.519,-3.916,-5.238,1.3220000000000005
7.5,8.604,-4.379,-3.74,-5.122,1.3819999999999997
7.5,8.604,-4.24,-3.562,-5.01,1.448
7.5,8.604,-4.213,-3.524,-4.99,1.4660000000000002
7.5,8.604,-4.228,-3.512,-5.024,1.512
7.5,8.604,-4.267,-3.521,-5.08,1.5590000000000002
7.5,8.605,-4.328,-3.557,-5.158,1.6010000000000004
7.5,8.605,-4.392,-3.596,-5.236,1.6399999999999997
7.5,8.605,-4.455,-3.636,-5.312,1.6760000000000002
7.5,8.605,-4.504,-3.669,-5.37,1.701
7.5,8.605,-4.52,-3.678,-5.39,1.7119999999999997
7.5,8.605,-4.583,-3.716,-5.467,1.7509999999999994
7.5,8.605,-4.599,-3.726,-5.486,1.7599999999999998
7.5,8.605,-4.646,-3.755,-5.542,1.787
7.5,8.605,-4.692,-3.778,-5.601,1.823
7.5,8.605,-4.738,-3.8,-5.658,1.8580000000000005
7.5,8.605,-4.788,-3.824,-5.721,1.8970000000000002
7.5,8.605,-4.847,-3.841,-5.799,1.9580000000000002
7.5,8.606,-4.905,-3.851,-5.878,2.027
7.5,8.607,-4.955,-3.852,-5.948,2.0960000000000005
7.5,8.608,-4.989,-3.843,-5.998,2.1550000000000002
7.5,8.611,-5.04,-3.829,-6.071,2.2419999999999995
7.5,8.615,-5.032,-3.838,-6.058,2.2199999999999998
7.5,8.629,-5.006,-3.865,-6.012,2.1469999999999994
7.5,8.64,-4.979,-3.89,-5.966,2.076
7.5,8.65,-4.945,-3.892,-5.917,2.025
7.5,8.659,-4.905,-3.893,-5.86,1.9670000000000005
7.5,8.669,-4.864,-3.89,-5.801,1.911
7.5,8.682,-4.806,-3.869,-5.726,1.8569999999999998
7.5,8.701,-4.755,-3.859,-5.654,1.795
7.5,8.746,-4.741,-3.896,-5.612,1.7160000000000002
7.5,8.75,-4.744,-3.902,-5.614,1.7119999999999997
7.5,8.777,-4.96,-4.175,-5.796,1.6210000000000004
7.5,8.787,-5.114,-4.364,-5.93,1.5659999999999998
7.5,8.79,-5.176,-4.444,-5.98,1.5360000000000005
7.5,8.791,-5.487,-4.925,-6.174,1.2490000000000006
7.5,8.792,-5.559,-5.04,-6.213,1.173
7.5,8.792,-5.595,-5.1,-6.228,1.1280000000000001
7.5,8.792,-5.626,-5.155,-6.24,1.085
7.5,8.792,-5.651,-5.199,-6.248,1.0490000000000004
7.5,8.793,-5.672,-5.237,-6.253,1.016
7.5,8.793,-5.695,-5.282,-6.257,0.9749999999999996
7.5,8.793,-5.714,-5.318,-6.259,0.9410000000000007
7.5,8.793,-5.731,-5.357,-6.257,0.8999999999999995
7.5,8.793,-5.748,-5.393,-6.254,0.8609999999999998
7.5,8.793,-5.765,-5.429,-6.251,0.8220000000000001
7.5,8.794,-5.781,-5.466,-6.245,0.7789999999999999
7.5,8.794,-5.798,-5.506,-6.235,0.7290000000000001
7.5,8.794,-5.814,-5.547,-6.222,0.6750000000000007
7.5,8.794,-5.822,-5.578,-6.203,0.625
7.5,8.794,-5.829,-5.607,-6.181,0.5739999999999998
7.5,8.795,-5.835,-5.636,-6.154,0.5179999999999998
7.5,8.795,-5.839,-5.666,-6.123,0.45699999999999985
7.5,8.795,-5.842,-5.693,-6.087,0.39400000000000013
7.5,8.796,-5.841,-5.713,-6.054,0.3410000000000002
7.5,8.797,-5.839,-5.73,-6.021,0.2909999999999995
7.5,8.797,-5.834,-5.741,-5.988,0.24700000000000077
7.5,8.798,-5.828,-5.75,-5.955,0.20500000000000007
7.5,8.8,-5.817,-5.757,-5.914,0.15700000000000003
7.5,8.803,-5.8,-5.756,-5.87,0.11399999999999988
7.5,8.807,-5.778,-5.747,-5.827,0.08000000000000007
7.5,8.811,-5.756,-5.733,-5.791,0.05800000000000072
7.5,8.82,-5.732,-5.717,-5.756,0.03900000000000059
7.5,8.824,-5.743,-5.726,-5.768,0.041999999999999815
7.5,8.838,-5.788,-5.762,-5.826,0.06400000000000006
7.5,8.845,-5.818,-5.785,-5.869,0.08399999999999963
7.5,8.856,-5.853,-5.807,-5.924,0.11699999999999999
7.5,8.865,-5.875,-5.82,-5.965,0.14499999999999957
7.5,8.873,-5.893,-5.826,-6.005,0.17900000000000027
7.5,8.88,-5.905,-5.825,-6.039,0.21399999999999952
7.5,8.886,-5.914,-5.819,-6.072,0.2530000000000001
7.5,8.891,-5.919,-5.807,-6.106,0.2989999999999995
7.5,8.895,-5.92,-5.789,-6.138,0.3490000000000002
7.5,8.898,-5.919,-5.769,-6.168,0.399
7.5,8.902,-5.915,-5.737,-6.204,0.46699999999999964
7.5,8.905,-5.907,-5.7,-6.238,0.5380000000000003
7.5,8.907,-5.898,-5.666,-6.261,0.5949999999999998
7.5,8.91,-5.882,-5.613,-6.292,0.6789999999999994
7.5,8.912,-5.865,-5.561,-6.316,0.7549999999999999
7.5,8.914,-5.839,-5.492,-6.336,0.8440000000000003
7.5,8.915,-5.813,-5.431,-6.346,0.915
7.5,8.917,-5.776,-5.35,-6.35,1.0
7.5,8.918,-5.741,-5.281,-6.344,1.0630000000000006
7.5,8.919,-5.761,-5.318,-6.349,1.0310000000000006
7.5,8.92,-5.795,-5.384,-6.354,0.9699999999999998
7.5,8.92,-5.824,-5.449,-6.351,0.9020000000000001
