source_id,ra,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp
4087853325780080128,289.0210672616203,-16.549449192988487,0.034858690697330504,4.993018408063952,0.05356424430564403,6.061674820613188,-0.4317432255699997,12.108401,1.0202999
4087845556167122432,288.81456200978323,-16.676773612833053,0.0383376659540627,2.2713914769599484,0.04718277406154652,7.097045197397438,-28.338913817194985,12.52484,0.9183645
4087835389988732160,289.22720506291864,-16.739669848022668,0.29677408029755875,2.0139519775869377,0.38766593505977603,6.63015572127674,-14.735676846956187,19.203598,2.4344635
4087854283545421056,288.95262108063383,-16.52568133305171,0.3384691683520912,2.9351170672539184,0.39362990155371097,5.692150769811876,0.9505535050739002,18.958084,2.2933426
4087840299131777536,289.0363403169978,-16.653495417583876,0.43495119749258704,3.294650323340689,0.5588285828544491,12.660344055636367,-22.033844943179368,19.31342,2.2035065
4087820168631665280,288.74371421099585,-16.802008783501922,0.2427462149080816,2.3786988692749778,0.30199250281631,-2.321185708861679,-0.9793226384427937,14.663465,1.0403652
4087860468298674688,288.92503168450526,-16.3959352233625,0.08990244460883907,2.811920722091104,0.10930864327251977,-11.007409545041735,-24.383136367403782,17.154942,2.5443296
4087855902760478592,289.0240799864553,-16.489799074338432,0.026652222014749673,3.2081253554107723,0.032234668673944394,-0.9965806993769757,-26.026973950016263,13.038154,1.0816116
4087816835726021632,288.42786787738765,-16.852157085771243,0.46480837003345976,2.986391271732586,0.5691492660205169,-6.667067822520602,-1.9843384618465847,19.554708,1.5105019
4087843150990189056,289.1626814314105,-16.528438646772532,0.2960402709067859,2.349530899772021,0.3702928754579227,-3.069113451498275,2.1904672124161757,19.140717,2.4230175
4087832984815137152,288.974039736774,-16.74128364472564,0.04644609954079677,3.206626356304352,0.08682400576165732,-1.0828449152760236,-26.051569380047894,11.538164,0.9227276
4087848996452720896,288.6796180872365,-16.670121836820815,0.1278861001963088,4.106135284338036,0.1550585635704131,-5.7490304886215995,2.5458561403342497,17.967152,2.5288925
4087827040569712384,288.95612579920834,-16.904054950762717,0.8820353914975354,3.359744201921076,0.5737134504254661,3.7971418174235567,-7.566238493873225,19.549137,2.6734295
4087856280717586560,289.09304681704015,-16.464190129078272,0.037256300386304626,3.6775498122434143,0.047921767736250086,-0.8277111935372461,-26.37501771547793,10.053749,0.84237957
4087857513360839936,288.9174159141505,-16.505257761519132,0.27447144120198635,2.883398020415233,0.35093121369527736,44.15641541475766,-7.375923662219769,18.803055,2.3606052
4087831228157491584,288.9198802834432,-16.798182647279344,0.023361706742771673,2.821007999163983,0.02699129627150503,5.064693713225591,-19.14415844908827,13.656963,1.1259499
4087857891313671936,288.8585129163733,-16.49705301860407,0.3781814793457556,2.1841984056721637,0.4032157128899148,3.3514619531366856,-10.16358734344409,18.0616,0.9262066
4087849511848965248,288.6683488494621,-16.615704723272795,0.03259193209453969,2.4753892711243766,0.03880345221924459,1.245747637877445,-14.092838976224963,15.376639,1.5979166
4087850370832970752,288.7830270289274,-16.623305004458818,0.554853626541334,3.4379137438864507,0.6765146238607513,-0.49151674814731827,-2.8042236468266837,19.515226,0.9510784
4087833053534610560,289.0297287357916,-16.75014830856573,0.06969160950122275,3.8653914985538225,0.13089572843862507,-36.743726971289774,-82.91791400003278,15.589812,1.9887266
4087823570234668160,288.5512281371061,-16.751628681780396,0.23750719486190572,2.072827218246331,0.33455688928828925,-5.539639216049787,-1.4710117430850156,17.488804,1.1287231
4087834153046250880,288.9741597255337,-16.71419515722699,0.13375232381505844,2.529708334394663,0.23474258032359066,8.924900785945876,-22.60771455540734,15.6134,1.9667006
4087832950455397248,288.989808370462,-16.74117099698504,0.22350871643648665,2.3352023166364027,0.4064320422337372,11.75386679965685,0.4048672266820798,17.991785,1.9203072
4087839238287262848,289.09673627260156,-16.69174868236112,0.04716932325193629,3.128205260035045,0.06411605321178927,20.720831088658016,-20.22281015560349,15.453151,1.7294884
4087825043409552640,288.61285965503845,-16.713826630092875,0.09675979561893855,2.5546520756542375,0.11624052689663646,-14.362197350842994,-29.894675431535767,17.468222,2.3557663
4087849438822817920,288.6817763720266,-16.62567144856456,0.034450204568058765,2.6594950525527867,0.040028204035129474,-22.62103885687836,-37.383013786752294,12.415351,0.95764065
4087857925672927360,288.87148743545157,-16.49605070219933,0.041580829806355864,3.893224404395302,0.05105663700719411,-6.9739201963528075,-3.0857352092870522,11.589881,0.94928455
4087855696602045312,289.0245617248512,-16.496819050924934,0.04438892551285692,3.2531897478086034,0.05909550472962198,-1.1445526669554549,-26.53977286490388,12.414426,1.1221447
4087858819031214336,288.8897592135782,-16.42702493956485,0.06979636022058464,3.1706968717320034,0.0849453981861657,-1.2637954745503053,-27.731719810990523,14.454977,1.6050673
4087859338734347520,288.99484390000094,-16.432684492560522,0.12441169945231034,2.380882815338263,0.1948922926982399,2.0861155361174855,-7.916327270684532,17.568584,2.1627846
4087820924534147840,288.68033629565406,-16.768559606756845,0.6274052681044116,4.024206782342897,0.7142266782182776,-7.333019040647852,-3.3695552175917345,19.582851,0.85290146
4087835316969195136,289.201204382236,-16.74184322367787,0.2213724048784455,2.406333667609089,0.29411636415542575,-14.118294421767866,-17.12011061992562,18.731691,2.7210312
4087839508853170048,289.0712858867635,-16.6839993888375,0.779167461374113,5.301179431019479,0.8862161410918463,-10.614573072872352,-11.825980851638416,10.687823,0.6867552
4087852325035577984,288.9900394404554,-16.62235913374501,0.0703951093890373,2.448356074864978,0.08759987365529671,3.8961092533241892,-11.067575537606483,8.519616,1.3448496
4087847067995609728,288.829038884189,-16.656903834303346,0.039548923197434714,3.2161003423599315,0.05087102212686055,-2.165867352852607,-25.484327555688044,11.432277,0.79199886
4087842223272494720,289.1834552354924,-16.553549680317392,0.03874267132433325,3.2259997659294757,0.05204920056611264,-4.090835158809518,-17.329036810594406,10.398325,0.68855095
4087842738668571008,289.0819010979617,-16.56940881144759,0.06342214090670546,3.129338020618072,0.0907519405789345,-1.0361407928389625,-26.58766200711738,8.17732,0.085455894
4087822298935589248,288.6038992497781,-16.79203419816299,0.4666946919053246,3.2122334912054784,0.6112645462484707,-4.869628725085109,-7.442676910621326,17.246708,1.9524479
4087847033635870336,288.8695092820225,-16.636041764121835,0.04886693600395171,3.1969549040848455,0.09285358126164404,-4.551014397393976,-2.7101521963994912,12.323695,0.89442253
