1685819557192O-result (2)
source_id,ra,dec,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_flux_over_error,phot_g_mean_mag,bp_rp
441605036983307776,52.36978248491120,49.92514674055420,4.775425892162110,162.87343,10.184825506372800,-17.234960702800100,2528.958,14.795299,1.9401684
441576243523280640,52.30914890649670,49.68791580814930,5.641204933551830,163.12993,22.830013091710700,-24.71118883087550,2159.3499,11.947062,1.2797852
441597340395433472,52.114847648460800,49.97091595328810,4.338987316464170,30.798733,-1.4004842129369200,-0.5663026176767860,682.15643,16.986534,2.589427
441623831753462272,52.43649942214170,50.16238220589200,3.4663535966581900,6.449325,-18.584307590744400,-8.583675759193970,238.90735,19.69556,3.0302677
441570849037762176,52.03772873714220,49.57695882340950,3.734208244606400,6.334934,68.18257409912250,-23.99811276558310,210.02217,19.700153,2.9826317
441580224951224576,52.36492808975300,49.805868472593400,3.7624418302203800,29.865154,4.328459793976070,-15.04120340447030,740.2767,17.690659,2.4261417
441615413624665088,52.85149261642900,50.20750092747030,5.70572708065715,210.63803,22.229636136577700,-25.971254702335900,1429.9084,13.837013,1.8091831
441657160706144000,50.49312447238490,49.32496546786650,4.089988281329410,171.06456,-22.397366374461300,-23.68393419280300,2107.5676,14.018734,1.5416574
441604968263837056,52.37561404377250,49.91324910232710,3.4349125616726600,136.97826,20.952893727569700,-19.244854003432300,3071.6797,14.328795,1.4949198
441565351485843456,51.957652054896000,49.4170947985116,3.5254419456721400,47.48163,-7.259537309323420,-34.28813972431920,1752.1313,11.500593,0.8413019
441573456085141504,52.35274250815630,49.62574634146520,4.451392512405590,19.026588,5.626064056704360,18.332880778681400,457.8245,18.78714,2.9518757
441600707656876800,52.5170667280344,49.800200632982400,3.888197585197020,53.522808,6.0093638370919200,-13.152287578149500,1493.8035,16.522297,2.435174
441585726810505472,51.97939182444170,49.760216413387600,5.711567833607310,160.86438,22.698384013562600,-26.287563511346800,3500.8591,10.536014,0.8302641
441600501498461440,52.43249715200280,49.80143926440680,4.474556319139150,111.00161,21.781575292926800,-20.229163681665900,765.60944,13.457825,1.5382729
441620979895171840,52.46485873510770,50.16162946821670,13.614767207213900,371.49716,50.866909890938500,-140.6506526553130,1811.9722,10.7408085,1.2746801
441591464886782720,52.0365626640287,49.79064363098440,4.130405588611210,22.045448,67.50456951215440,-10.058847004298500,688.1615,18.308123,2.8882484
