logAge   ,Mass,Gmag,BPmag,RPmag
7.50000,6.200000,-1.5730,-1.7200,-1.3810
7.50000,6.308000,-1.6400,-1.7880,-1.4460
7.50000,6.399000,-1.6970,-1.8460,-1.5010
7.50000,6.473000,-1.7430,-1.8930,-1.5460
7.50000,6.648000,-1.8530,-2.0050,-1.6540
7.50000,6.810000,-1.9570,-2.1100,-1.7560
7.50000,6.959000,-2.0570,-2.2120,-1.8550
7.50000,6.996000,-2.0830,-2.2380,-1.8810
7.50000,7.158000,-2.1950,-2.3510,-1.9920
7.50000,7.355000,-2.3380,-2.4940,-2.1340
7.50000,7.519000,-2.4620,-2.6190,-2.2580
7.50000,7.668000,-2.5860,-2.7430,-2.3830
7.50000,7.802000,-2.7070,-2.8620,-2.5040
7.50000,7.930000,-2.8280,-2.9830,-2.6280
7.50000,8.001000,-2.9020,-3.0550,-2.7020
7.50000,8.060000,-2.9620,-3.1140,-2.7640
7.50000,8.190000,-3.1090,-3.2590,-2.9140
7.50000,8.312000,-3.2580,-3.4050,-3.0680
7.50000,8.406000,-3.3850,-3.5290,-3.2000
7.50000,8.506000,-3.5220,-3.6630,-3.3400
7.50000,8.531000,-3.5530,-3.6940,-3.3730
7.50000,8.578000,-3.5460,-3.6930,-3.3570
7.50000,8.589000,-3.5180,-3.6700,-3.3230
7.50000,8.592000,-3.4910,-3.6470,-3.2900
7.50000,8.594000,-3.4740,-3.6340,-3.2680
7.50000,8.595000,-3.4650,-3.6290,-3.2550
7.50000,8.596000,-3.4630,-3.6270,-3.2510
7.50000,8.596000,-3.4460,-3.6070,-3.2370
7.50000,8.597000,-3.4510,-3.6090,-3.2480
7.50000,8.597000,-3.4810,-3.6350,-3.2840
7.50000,8.597000,-3.5440,-3.6930,-3.3530
7.50000,8.598000,-3.6200,-3.7640,-3.4360
7.50000,8.598000,-3.7050,-3.8430,-3.5280
7.50000,8.598000,-3.7910,-3.9240,-3.6210
7.50000,8.598000,-3.8760,-4.0040,-3.7120
7.50000,8.599000,-3.9770,-4.0990,-3.8220
7.50000,8.599000,-4.0540,-4.1710,-3.9060
7.50000,8.599000,-4.1290,-4.2410,-3.9880
7.50000,8.599000,-4.2010,-4.3070,-4.0660
7.50000,8.600000,-4.2700,-4.3710,-4.1430
7.50000,8.600000,-4.3370,-4.4330,-4.2180
7.50000,8.600000,-4.4020,-4.4920,-4.2900
7.50000,8.600000,-4.4650,-4.5490,-4.3610
7.50000,8.600000,-4.5270,-4.6050,-4.4300
7.50000,8.601000,-4.5860,-4.6580,-4.4960
7.50000,8.601000,-4.6440,-4.7100,-4.5620
7.50000,8.601000,-4.7000,-4.7600,-4.6250
7.50000,8.601000,-4.7530,-4.8070,-4.6860
7.50000,8.601000,-4.8050,-4.8530,-4.7450
7.50000,8.601000,-4.8540,-4.8950,-4.8010
7.50000,8.602000,-4.9000,-4.9350,-4.8560
7.50000,8.602000,-4.9450,-4.9730,-4.9090
7.50000,8.602000,-4.9880,-5.0100,-4.9600
7.50000,8.602000,-5.0300,-5.0440,-5.0100
7.50000,8.602000,-5.0690,-5.0770,-5.0580
7.50000,8.602000,-5.1150,-5.1140,-5.1160
7.50000,8.602000,-5.1490,-5.1400,-5.1600
7.50000,8.602000,-5.1800,-5.1630,-5.2020
7.50000,8.603000,-5.2050,-5.1800,-5.2420
7.50000,8.603000,-5.2230,-5.1870,-5.2790
7.50000,8.603000,-5.2360,-5.1870,-5.3130
7.50000,8.603000,-5.2420,-5.1790,-5.3450
7.50000,8.603000,-5.2420,-5.1640,-5.3730
7.50000,8.603000,-5.2380,-5.1420,-5.3990
7.50000,8.603000,-5.2300,-5.1140,-5.4240
7.50000,8.603000,-5.2170,-5.0790,-5.4480
7.50000,8.603000,-5.2030,-5.0420,-5.4690
7.50000,8.603000,-5.1850,-5.0000,-5.4870
7.50000,8.603000,-5.1660,-4.9550,-5.5040
7.50000,8.603000,-5.1430,-4.9040,-5.5170
7.50000,8.603000,-5.1170,-4.8490,-5.5290
7.50000,8.604000,-5.0890,-4.7880,-5.5390
7.50000,8.604000,-5.0570,-4.7230,-5.5430
7.50000,8.604000,-5.0220,-4.6550,-5.5400
7.50000,8.604000,-4.9710,-4.5630,-5.5280
7.50000,8.604000,-4.9250,-4.4860,-5.5110
7.50000,8.604000,-4.8750,-4.4060,-5.4880
7.50000,8.604000,-4.8200,-4.3200,-5.4580
7.50000,8.604000,-4.7600,-4.2300,-5.4220
7.50000,8.604000,-4.6950,-4.1400,-5.3760
7.50000,8.604000,-4.6160,-4.0380,-5.3160
7.50000,8.604000,-4.5190,-3.9160,-5.2380
7.50000,8.604000,-4.3790,-3.7400,-5.1220
7.50000,8.604000,-4.2400,-3.5620,-5.0100
7.50000,8.604000,-4.2130,-3.5240,-4.9900
7.50000,8.604000,-4.2280,-3.5120,-5.0240
7.50000,8.604000,-4.2670,-3.5210,-5.0800
7.50000,8.605000,-4.3280,-3.5570,-5.1580
7.50000,8.605000,-4.3920,-3.5960,-5.2360
7.50000,8.605000,-4.4550,-3.6360,-5.3120
7.50000,8.605000,-4.5040,-3.6690,-5.3700
7.50000,8.605000,-4.5200,-3.6780,-5.3900
7.50000,8.605000,-4.5830,-3.7160,-5.4670
7.50000,8.605000,-4.5990,-3.7260,-5.4860
7.50000,8.605000,-4.6460,-3.7550,-5.5420
7.50000,8.605000,-4.6920,-3.7780,-5.6010
7.50000,8.605000,-4.7380,-3.8000,-5.6580
7.50000,8.605000,-4.7880,-3.8240,-5.7210
7.50000,8.605000,-4.8470,-3.8410,-5.7990
7.50000,8.606000,-4.9050,-3.8510,-5.8780
7.50000,8.607000,-4.9550,-3.8520,-5.9480
7.50000,8.608000,-4.9890,-3.8430,-5.9980
7.50000,8.611000,-5.0400,-3.8290,-6.0710
7.50000,8.615000,-5.0320,-3.8380,-6.0580
7.50000,8.629000,-5.0060,-3.8650,-6.0120
7.50000,8.640000,-4.9790,-3.8900,-5.9660
7.50000,8.650000,-4.9450,-3.8920,-5.9170
7.50000,8.659000,-4.9050,-3.8930,-5.8600
7.50000,8.669000,-4.8640,-3.8900,-5.8010
7.50000,8.682000,-4.8060,-3.8690,-5.7260
7.50000,8.701000,-4.7550,-3.8590,-5.6540
7.50000,8.746000,-4.7410,-3.8960,-5.6120
7.50000,8.750000,-4.7440,-3.9020,-5.6140
7.50000,8.777000,-4.9600,-4.1750,-5.7960
7.50000,8.787000,-5.1140,-4.3640,-5.9300
7.50000,8.790000,-5.1760,-4.4440,-5.9800
7.50000,8.791000,-5.4870,-4.9250,-6.1740
7.50000,8.792000,-5.5590,-5.0400,-6.2130
7.50000,8.792000,-5.5950,-5.1000,-6.2280
7.50000,8.792000,-5.6260,-5.1550,-6.2400
7.50000,8.792000,-5.6510,-5.1990,-6.2480
7.50000,8.793000,-5.6720,-5.2370,-6.2530
7.50000,8.793000,-5.6950,-5.2820,-6.2570
7.50000,8.793000,-5.7140,-5.3180,-6.2590
7.50000,8.793000,-5.7310,-5.3570,-6.2570
7.50000,8.793000,-5.7480,-5.3930,-6.2540
7.50000,8.793000,-5.7650,-5.4290,-6.2510
7.50000,8.794000,-5.7810,-5.4660,-6.2450
7.50000,8.794000,-5.7980,-5.5060,-6.2350
7.50000,8.794000,-5.8140,-5.5470,-6.2220
7.50000,8.794000,-5.8220,-5.5780,-6.2030
7.50000,8.794000,-5.8290,-5.6070,-6.1810
7.50000,8.795000,-5.8350,-5.6360,-6.1540
7.50000,8.795000,-5.8390,-5.6660,-6.1230
7.50000,8.795000,-5.8420,-5.6930,-6.0870
7.50000,8.796000,-5.8410,-5.7130,-6.0540
