source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,teff_val,lum_val
1912109961188455296,351.29558927875246,34.284272505448904,26.179483846248047,0.03170870863074076,9.061076,1.1549778,5004.045,0.28456384
5588141992752796800,113.03127887401835,-36.12480988764635,65.18893149898007,0.03172361495200346,11.845655,2.593522,3837.95,
6374440347323574144,310.25887447045045,-71.1269783142795,22.771330936393138,0.031206095422085835,9.53172,1.1757908,4901.8774,0.24961503
2786115533677290240,20.577025977353586,18.68269745878549,38.37579461307159,0.040736581733923895,6.795969,0.8065553,5763.3335,0.9676746
3902522222766436736,189.3467001187154,8.07709235056776,35.085700470783955,0.057996568653725204,13.827969,2.7903671,3513.9775,
1754663916181432704,308.8596190816204,11.358703015570708,24.318709555503315,0.10592994937201505,8.308999,0.96215534,5316.0,0.62449574
2490021553443047168,35.90578862900925,-4.16083338911489,22.039633819171012,0.057113434703738516,12.472741,2.140913,4072.0322,
2579299080119853184,21.20517771360296,9.754672790192004,22.629486981015265,0.06360831636710017,13.75411,2.5539837,3755.56,
3954927249048246272,193.6669749290464,22.107794581806402,28.395611534530875,0.03878466063334555,6.8567443,0.7229047,6163.95,1.6432654
6340258145722256896,222.85832875220453,-2.457934161580874,21.147442262894934,0.05877624429899151,8.289349,0.8696494,5592.0,0.8156775
2419161082754688896,359.1343862576376,-14.75039154828508,37.345946481913145,1.7829038961033266,11.110907,1.4799919,4792.0,
470236697727128064,62.976544772727934,58.771010562069335,21.36211692739307,0.043867039631581756,8.2743025,0.87138987,5600.0,0.8099625
489192312546934400,61.07081203726919,66.11618925639233,21.428993110930705,0.04556348334038685,13.910406,2.7062817,3797.1934,
6178773697585068928,207.58461599858487,-25.634379162208624,24.196604329624925,0.10359110541383018,14.591568,2.9116144,3747.6548,
6743801762346749952,290.30416614362014,-34.15881082553642,20.22747764726233,0.0686179510978306,14.992988,2.9061737,4120.11,
2208601827199381632,347.60317953722915,64.52965486937694,27.73789814459459,0.03485146134395157,6.890391,0.70324993,6090.25,1.6729335
6621026789291266304,339.5480728374468,-27.443364972120087,27.264460115510417,0.04145935834264226,7.715667,0.82573843,5711.5,0.8246404
6637963425890391552,284.3773217100031,-55.99306259877893,81.1583336309714,0.07789239365683609,9.043918,2.1112947,3581.5,0.060696587
1202586586570696576,239.00487969123068,17.8494240484873,27.563949058910048,0.06712537226937519,13.314411,2.5648031,3926.645,
5145956864601439488,37.92664301544557,-15.273959427050718,37.07840429498171,0.05423099517090906,8.378473,1.1481977,4934.9297,0.2701787
5760796963625779200,133.3798308459335,-5.044351187256575,31.763713071967118,0.07178078745084819,13.053625,2.6204433,3908.105,
5760701787150565888,133.57299049390912,-5.434327712867781,59.34687793162366,0.044732297894411376,5.831462,0.8292608,5737.3335,0.9853296
2764848917212838656,355.1978286115115,13.350349947745048,24.012436899105655,0.053673368529953816,13.60851,2.5500288,3639.8398,
5593584059906793088,118.06289568852955,-34.70450895777134,54.456565692472765,0.04054929890041586,7.9256372,1.2193213,4882.25,0.19253182
1151688166094387840,163.0530576203702,87.66826120016654,20.441823711421478,0.03232050295502435,13.478713,2.2756052,3977.97,
1151854295429622656,117.46800543532522,86.36468353516625,21.85223265104267,0.025241088279378338,7.737527,0.7576437,5964.0,1.2408749
3630099250409312640,203.2961049768915,-8.44314337418582,29.89421210891992,0.04216648477086304,7.173571,0.7873039,5867.0,1.1196092
1960631100090155008,327.96954123701465,42.34255627405166,33.61721952059826,0.04006990229487569,7.642576,0.9342046,5464.5,0.5929162
3150532994665639296,118.59181439435841,11.014454432015876,21.0398177918433,0.04033131011523121,13.898189,2.3883533,4194.36,
554559206530506880,61.67504673191755,77.45506508069161,26.508797324102833,0.04213548974486998,14.350332,2.9072552,3812.085,
3481588421005428608,170.70647234574972,-31.67831158697964,39.4701708828642,0.07434222839340347,14.258015,3.081152,3402.4734,
4796263719738968832,84.53833956311652,-46.10803477268413,39.277799345838346,0.026536350612212618,7.344408,0.8939357,5596.3335,0.5643563
5455707157211784832,160.86673675614674,-29.064501713970756,46.42594431473585,0.042601002746310526,7.4718537,1.0629878,5147.25,0.3803275
554410738100867328,57.59190723972845,77.48306080560533,22.95571511851161,0.02763265071911025,13.663272,2.3889256,4196.435,
554468462460879616,54.48861765718737,77.7691211516716,35.575612710519216,0.03643969436195004,13.745243,2.6514177,3843.7651,
3150650573690260736,116.98428750703658,10.898297901662904,25.378470178397087,0.04583920962212609,13.835233,2.4943018,3879.545,
3167334387034439552,109.31139084249035,14.29117629823454,20.11747258468334,0.09111467258167409,15.662228,3.070322,3642.9402,
1599270384502442752,229.15437287794524,53.930411790791496,43.11941787272469,0.0661179904197486,13.9831085,3.1899796,3669.45,
1663006290425323648,201.5470997766765,59.793200880315304,26.951285238055597,0.02505908664272894,11.496605,2.0220985,4047.975,
777254360337133312,164.86476108762628,40.4304930986133,72.45283035255615,0.15070104064554635,4.8306003,0.77671385,5947.0,1.6431979
5622306808327110528,134.89531934959194,-37.60554415684268,23.21496530038972,0.028947961321534717,12.850107,2.276472,3989.935,
